n,tGen,thetaNO,thetaBH,tNO,tBH
1,7.8e-06,1.2e-06,4.6e-06,2.19e-05,2.16e-05
1,1.6e-06,7e-07,2e-06,1.69e-05,1.65e-05
1,1e-06,6e-07,1.3e-06,3.04e-05,2.18e-05
1,2.9e-06,9e-07,3e-06,3.18e-05,0.0001541
1,2.8e-06,9e-07,3e-06,5.04e-05,5.46e-05
1,2.7e-06,1e-06,3e-06,4.95e-05,4.66e-05
1,2.8e-06,1e-06,3e-06,4.15e-05,3.46e-05
1,2e-06,7e-07,2.4e-06,4.63e-05,4.41e-05
1,1.4e-06,6e-07,1.7e-06,3.68e-05,3.88e-05
1,2.5e-06,9e-07,2.9e-06,4.53e-05,3.56e-05
1,1e-06,5e-07,1.4e-06,3.59e-05,3.93e-05
1,2.2e-06,8e-07,2.3e-06,3.47e-05,3.48e-05
1,1.9e-06,8e-07,2.6e-06,3.27e-05,2.92e-05
1,1.4e-06,6e-07,2e-06,3.26e-05,4.05e-05
1,1.7e-06,7e-07,2.3e-06,3.99e-05,3.13e-05
1,8e-07,5e-07,1.3e-06,3.35e-05,4.27e-05
1,2e-06,8e-07,2.5e-06,3.87e-05,4.26e-05
1,1.5e-06,6e-07,1.9e-06,3.89e-05,2.99e-05
1,1.1e-06,6e-07,1.6e-06,3.31e-05,3.27e-05
1,1.7e-06,8e-07,2.2e-06,4.57e-05,4.44e-05
2,4.8e-06,1.2e-06,8.6e-06,8.68e-05,8.61e-05
2,3.8e-06,1e-06,5.1e-06,7.31e-05,6.31e-05
2,3.1e-06,4.7e-06,5.7e-06,0.0003825,4.05e-05
2,3.1e-06,1.1e-06,5.1e-06,0.0004747,4.78e-05
2,2.9e-06,1e-06,4.8e-06,5.27e-05,4.47e-05
2,2.5e-06,1e-06,4.9e-06,0.000277,4.51e-05
2,2.2e-06,9e-07,3.9e-06,3.67e-05,4.23e-05
2,1.7e-06,8e-07,3.5e-06,0.0005246,0.000111
2,3e-06,1e-06,5e-06,9.05e-05,9.63e-05
2,2.5e-06,9e-07,4.3e-06,5e-05,3.2e-05
2,2.6e-06,9e-07,4.9e-06,0.0006092,3.25e-05
2,2.6e-06,1e-06,4.9e-06,4.37e-05,3.47e-05
2,1.2e-06,7e-07,2.8e-06,0.000847,0.0001649
2,3.1e-06,1.1e-06,4.8e-06,0.0006494,5.28e-05
2,3.2e-06,1.1e-06,1.79e-05,0.0003208,3.31e-05
2,2.6e-06,1.1e-06,4.7e-06,0.0003965,6.61e-05
2,2.7e-06,1e-06,4.9e-06,0.000287,5.58e-05
2,1.56e-05,2.2e-06,5.6e-06,4.18e-05,3.44e-05
2,2.7e-06,1e-06,4.9e-06,4.58e-05,5.35e-05
2,2.4e-06,9e-07,4.2e-06,0.0004257,3.84e-05
3,4.7e-06,1.3e-06,1.14e-05,0.0008535,4.87e-05
3,5.28e-05,1.5e-06,2.34e-05,0.0006207,4.5e-05
3,2.8e-06,1.1e-06,1.01e-05,0.0007632,4.91e-05
3,2.7e-06,1.1e-06,1e-05,0.0005554,3.51e-05
3,2.8e-06,1.2e-06,1.02e-05,0.0007641,3.66e-05
3,2.7e-06,1.1e-06,9.9e-06,4.55e-05,0.0002742
3,2.6e-06,1.1e-06,9e-06,0.0010625,2.96e-05
3,2.8e-06,1.2e-06,9.4e-06,0.0016163,4.59e-05
3,2.8e-06,1.1e-06,9.5e-06,0.0007088,2.91e-05
3,2.8e-06,1.1e-06,9e-06,0.0004738,0.0002217
3,2.8e-06,1.1e-06,1.01e-05,0.0006853,4.75e-05
3,2.8e-06,1.1e-06,9.9e-06,0.0007274,3.47e-05
3,2.6e-06,1.1e-06,9.3e-06,0.0013382,6.72e-05
3,3.2e-06,1.1e-06,1.03e-05,0.0010431,3.58e-05
3,2.9e-06,1.2e-06,1.79e-05,0.0003253,7.53e-05
3,3.1e-06,0.0001749,1.11e-05,0.0003178,3.41e-05
3,2.7e-06,1.1e-06,9.7e-06,0.0002911,4.42e-05
3,2.8e-06,1.1e-06,1e-05,0.0005901,4.14e-05
3,3.2e-06,1.1e-06,1e-05,0.0003086,3.81e-05
3,3.2e-06,1.1e-06,9.8e-06,0.0003023,3.73e-05
4,5.7e-06,1.6e-06,1.41e-05,0.0012615,0.0004497
4,4.5e-06,1.4e-06,1.39e-05,0.0013349,0.0002525
4,3.4e-06,1.3e-06,1.23e-05,0.0017236,0.0006071
4,3.4e-06,1.3e-06,1.38e-05,0.0011876,0.0002561
4,3.9e-06,1.4e-06,1.42e-05,0.0012377,0.0002897
4,4.5e-06,1.3e-06,1.43e-05,0.0022075,0.0004177
4,4e-06,1.4e-06,1.45e-05,0.0015912,0.0002796
4,3.9e-06,1.5e-06,1.45e-05,0.0013487,0.0005441
4,3.9e-06,1.5e-06,1.43e-05,0.0016171,0.0006461
4,4e-06,1.3e-06,1.39e-05,0.0012149,0.0001916
4,9e-06,1.5e-06,3.68e-05,0.0018262,0.000558
4,3.8e-06,1.4e-06,1.36e-05,0.0013152,4.9e-05
4,3.9e-06,1.4e-06,1.37e-05,0.0016281,0.0010131
4,3.9e-06,1.4e-06,1.42e-05,0.001054,3.73e-05
4,3.3e-06,1.2e-06,1.34e-05,0.0014725,0.0010667
4,4e-06,1.4e-06,1.37e-05,0.0008093,0.0011101
4,3.9e-06,1.4e-06,1.39e-05,0.0012152,0.000266
4,3.6e-06,1.4e-06,1.38e-05,0.0005766,4.36e-05
4,3.9e-06,1.4e-06,1.32e-05,0.0015194,0.0004367
4,3.9e-06,1.4e-06,1.42e-05,0.0013635,0.0002769
5,5.9e-06,2.1e-06,2.18e-05,0.0026381,0.0005179
5,5.1e-06,1.9e-06,2.16e-05,0.0016518,0.000265
5,3.8e-06,1.9e-06,2.16e-05,0.0021294,0.0001132
5,5.7e-06,4.64e-05,2.3e-05,0.0020714,0.0004835
5,4.1e-06,2e-06,2.13e-05,0.0018887,0.0003902
5,3.7e-06,1.9e-06,2.07e-05,0.0021606,0.0005168
5,4.3e-06,1.9e-06,2.18e-05,0.0018504,0.0010583
5,3.8e-06,1.9e-06,2.12e-05,0.0021562,0.000501
5,4.2e-06,1.9e-06,2.19e-05,0.0029355,0.0004752
5,3.7e-06,1.8e-06,2.11e-05,0.0021975,0.0005566
5,4.3e-06,2e-06,2.18e-05,0.0010339,0.0005495
5,3.8e-06,1.9e-06,2.12e-05,0.0015759,0.0007264
5,4.2e-06,1.9e-06,2.17e-05,0.0021518,4.93e-05
5,4.4e-06,2e-06,2.14e-05,0.001256,5.43e-05
5,3.8e-06,2e-06,2.13e-05,0.0016203,0.0006037
5,3.7e-06,1.8e-06,2.03e-05,0.0012392,0.0002816
5,4.3e-06,2e-06,2.2e-05,0.0017218,4.63e-05
5,4.1e-06,2e-06,2.06e-05,0.0022052,0.0003395
5,3.8e-06,1.9e-06,2.1e-05,0.0007413,0.0012928
5,4.1e-06,2e-06,2.06e-05,0.0023083,0.0003124
6,5.1e-06,2.3e-06,3.14e-05,0.0024204,0.0010021
6,5e-06,2e-06,4.06e-05,0.0019104,0.0005694
6,4.4e-06,2e-06,3.26e-05,0.0014177,0.0008737
6,4e-06,2e-06,2.94e-05,0.002787,0.0008227
6,4.5e-06,2e-06,3.17e-05,0.0025575,0.000719
6,4e-06,2.1e-06,3.02e-05,0.0031578,0.0011893
6,4.5e-06,2.1e-06,3.23e-05,0.0029923,0.0010999
6,4.6e-06,2.1e-06,3.28e-05,0.0025423,0.0003475
6,4.5e-06,2.1e-06,3.27e-05,0.0028209,0.0007209
6,4.5e-06,2.2e-06,3.3e-05,0.0031266,0.0011892
6,4.5e-06,2.1e-06,3.28e-05,0.0017873,0.0006513
6,4.6e-06,2.1e-06,3.29e-05,0.0029507,0.0010286
6,4.1e-06,2.1e-06,3.18e-05,0.0018956,0.0002836
6,4.5e-06,2.1e-06,3.22e-05,0.0025419,0.0002532
6,3.9e-06,2e-06,2.94e-05,0.0024631,0.0008683
6,3.9e-06,2e-06,3.09e-05,0.0021468,0.0011998
6,4.5e-06,2.1e-06,3.31e-05,0.0019706,0.000917
6,4e-06,2e-06,3.24e-05,0.0026375,0.0002537
6,3.9e-06,2e-06,3.23e-05,0.0022933,3.8e-05
6,4.2e-06,2e-06,3.18e-05,0.0029873,0.001438
7,5.4e-06,2.1e-06,4.5e-05,0.0027443,0.0018934
7,5e-06,2.1e-06,4.18e-05,0.0037204,0.0006683
7,4.5e-06,2e-06,4.42e-05,0.00294,0.0013887
7,4.6e-06,2.1e-06,4.81e-05,0.0046428,0.0012543
7,4.5e-06,2.1e-06,5.1e-05,0.0033772,0.0005357
7,4.4e-06,2.1e-06,4.98e-05,0.0030452,0.0005852
7,4.5e-06,2.1e-06,4.49e-05,0.0029174,0.0018696
7,4.3e-06,2.1e-06,4.51e-05,0.0051009,0.0014892
7,4.1e-06,2e-06,4.6e-05,0.0034716,0.000863
7,4e-06,2.1e-06,4.74e-05,0.0033088,0.0015377
7,4.4e-06,2.1e-06,5.18e-05,0.003532,0.0007306
7,4.4e-06,2.1e-06,4.49e-05,0.0046178,0.0012283
7,4.5e-06,2.2e-06,6.27e-05,0.0040468,0.0008602
7,4.7e-06,2e-06,4.67e-05,0.004626,0.0007729
7,4.5e-06,2.1e-06,4.49e-05,0.003095,0.0010549
7,4.1e-06,2.1e-06,4.48e-05,0.0024622,0.0006371
7,4.5e-06,2.1e-06,5.92e-05,0.0040992,0.0011148
7,4.4e-06,2.2e-06,5.94e-05,0.0017226,0.0010886
7,4.1e-06,2.1e-06,4.55e-05,0.0044767,0.0011741
7,4.4e-06,2.1e-06,4.52e-05,0.003595,0.0005891
8,6.2e-06,1.9e-06,6.17e-05,0.0052694,0.0031506
8,6e-06,1.9e-06,8.49e-05,0.0044406,0.0013662
8,4.6e-06,1.8e-06,7.78e-05,0.0062902,0.0025806
8,5e-06,1.8e-06,6.46e-05,0.0038621,0.0017249
8,5.1e-06,1.9e-06,6.38e-05,0.003667,0.0010452
8,4.6e-06,1.8e-06,6.51e-05,0.0048214,0.001206
8,4.7e-06,1.8e-06,6.53e-05,0.002539,0.0017578
8,5.1e-06,2e-06,6.25e-05,0.0047827,0.0015773
8,4.8e-06,1.7e-06,6.46e-05,0.0041838,0.0023806
8,4.8e-06,1.9e-06,6.34e-05,0.0037859,0.0014423
8,5.2e-06,1.9e-06,6.66e-05,0.0051383,0.0008423
8,5.1e-06,1.9e-06,6.37e-05,0.0050068,0.0014008
8,4.6e-06,1.8e-06,6.46e-05,0.0028355,0.0012508
8,4.7e-06,1.8e-06,6.31e-05,0.0033824,0.0012916
8,5.1e-06,1.9e-06,6.71e-05,0.0034247,0.0014839
8,5.1e-06,1.9e-06,6.3e-05,0.0045261,0.0012707
8,4.5e-06,1.8e-06,6.31e-05,0.0041311,0.0007332
8,5.2e-06,1.9e-06,6.09e-05,0.0040277,0.0010394
8,5.2e-06,1.9e-06,0.0003946,0.0052453,0.0018725
8,4.7e-06,1.7e-06,8.69e-05,0.004478,0.0017029
9,5.9e-06,1.9e-06,8.07e-05,0.0058325,0.0032546
9,6e-06,2e-06,8.63e-05,0.0056316,0.0017781
9,5.6e-06,2e-06,9.73e-05,0.0057041,0.0006132
9,5.5e-06,2e-06,8.8e-05,0.0055029,0.0015737
9,5.1e-06,2e-06,8.46e-05,0.0047615,0.0016383
9,5.1e-06,2e-06,8.15e-05,0.0048771,0.0003515
9,5.2e-06,1.9e-06,8.46e-05,0.0065145,0.0009825
9,4.7e-06,1.9e-06,8.53e-05,0.0060039,0.0019985
9,5.3e-06,1.9e-06,8.08e-05,0.007048,0.0018734
9,6.6e-06,2.4e-06,0.0001006,0.0064752,0.0005697
9,5e-06,1.9e-06,8.9e-05,0.0048287,0.0010279
9,6e-06,2.2e-06,0.0001005,0.004357,0.0031321
9,6.5e-06,2.3e-06,0.0001018,0.0058498,0.0016646
9,5.7e-06,2.2e-06,9.62e-05,0.0049653,0.0016618
9,5.8e-06,2.3e-06,0.0001015,0.0052005,0.0003514
9,5.2e-06,1.9e-06,8.05e-05,0.0054943,0.0271045
9,5.3e-06,2e-06,8.07e-05,0.0133765,0.0022977
9,5.2e-06,1.9e-06,8.08e-05,0.0067805,0.0012011
9,6e-06,2.2e-06,0.0001019,0.0051382,0.0014403
9,6.4e-06,2.3e-06,9.49e-05,0.0071,0.0010845
11,1.87e-05,0.0001602,0.0001381,0.0061255,0.0027634
11,7e-06,3.1e-06,0.0001441,0.0090253,0.0024388
11,7.7e-06,3.3e-06,0.0001799,0.0074266,0.0030028
11,7.5e-06,3.4e-06,0.0001637,0.0065009,0.0021914
11,7.6e-06,3.3e-06,0.0001588,0.0071389,0.0008735
11,5.6e-06,2.6e-06,0.0001289,0.008008,0.0009828
11,6.1e-06,2.7e-06,0.0001376,0.0092492,0.0027586
11,5.4e-06,2.5e-06,0.000124,0.0065213,0.0007775
11,7e-06,3.2e-06,0.0001517,0.0071858,0.0027822
11,5.4e-06,2.5e-06,0.0001238,0.0074262,0.0028482
11,7.5e-06,3.3e-06,0.0001691,0.0112312,0.0029267
11,6.8e-06,3.1e-06,0.0003037,0.0087937,0.0030034
11,7.5e-06,3.3e-06,0.0002091,0.0085594,0.0013013
11,7.6e-06,3.2e-06,0.0001566,0.0077365,0.0015812
11,7.1e-06,3.3e-06,0.0001682,0.0081477,0.0037413
11,6.1e-06,2.7e-06,0.0001353,0.0076203,0.0009709
11,7.6e-06,3.3e-06,0.0001719,0.0079573,0.0023966
11,6.7e-06,3.2e-06,0.0001665,0.0093121,0.0025292
11,7.5e-06,3.3e-06,0.0001825,0.0076806,0.0027526
11,6.1e-06,2.6e-06,0.0001307,0.008155,0.0027858
12,8.2e-06,2.9e-06,0.0001613,0.0139939,0.0029878
12,8.8e-06,3.4e-06,0.0002025,0.0096529,0.0028693
12,7.6e-06,3.3e-06,0.0002146,0.0111609,0.002128
12,6.5e-06,2.7e-06,0.0001572,0.0083969,0.0021274
12,8.1e-06,3.4e-06,0.0002079,0.008615,0.004567
12,8.1e-06,3.2e-06,0.0002086,0.0092727,0.0013759
12,7.7e-06,3.4e-06,0.0002043,0.008862,0.0024878
12,7.2e-06,3.3e-06,0.0001927,0.0085834,0.0031504
12,6.1e-06,2.6e-06,0.0001737,0.0095646,0.0008215
12,6.1e-06,2.6e-06,0.000151,0.0110247,0.0013011
12,8.1e-06,3.4e-06,0.0002109,0.0098155,0.0036445
12,7.3e-06,3.2e-06,0.0002033,0.0049048,0.0022454
12,8.3e-06,3.2e-06,0.000214,0.0083337,0.0027388
12,8e-06,3.3e-06,0.0002063,0.0107023,0.002291
12,6.6e-06,2.6e-06,0.0001832,0.0100386,0.0021855
12,1.4e-05,3.9e-06,0.0002113,0.011095,0.0023024
12,7.5e-06,3.1e-06,0.0002094,0.0078669,0.0027832
12,6e-06,2.6e-06,0.0001693,0.0108197,0.0033066
12,8.1e-06,3.3e-06,0.0001974,0.0098002,0.002507
12,6.6e-06,2.7e-06,0.0001941,0.0078025,0.002359
13,1.08e-05,3.6e-06,0.0002393,0.0114048,0.0030085
13,1.01e-05,3.5e-06,0.0002387,0.0117044,0.004307
13,7e-06,2.9e-06,0.0002005,0.0123658,0.0030192
13,8.7e-06,3.4e-06,0.0002628,0.0096174,0.0029033
13,8.6e-06,2.9e-06,0.0001916,0.0093245,0.0021907
13,8.1e-06,3.3e-06,0.0002242,0.0096937,0.0021479
13,8e-06,3.3e-06,0.0002669,0.0095608,0.0020955
