n,mesure,temps_max_s
1,t_BH_s,2.4000000848900527e-05
1,t_NO_s,4.61999952676706e-05
1,theta_BH_numba_s,4.990000161342323e-05
1,theta_BH_s,2.510000194888562e-05
1,theta_NO_numba_s,2.3800006601959467e-05
1,theta_NO_s,1.4200006262399256e-05
1,theta_plus_t_BH_s,4.910000279778615e-05
1,theta_plus_t_NO_s,4.930000432068482e-05
2,t_BH_s,3.2099997042678297e-05
2,t_NO_s,6.009999924572185e-05
2,theta_BH_numba_s,5.399997462518513e-06
2,theta_BH_s,2.3799999326001853e-05
2,theta_NO_numba_s,1.09999964479357e-05
2,theta_NO_s,9.200004569720475e-06
2,theta_plus_t_BH_s,5.009999586036429e-05
2,theta_plus_t_NO_s,6.600000051548705e-05
3,t_BH_s,7.700000423938036e-05
3,t_NO_s,0.0001373999984934
3,theta_BH_numba_s,4.599998646881431e-06
3,theta_BH_s,0.0004096999982721
3,theta_NO_numba_s,4.400004399940372e-06
3,theta_NO_s,1.4000004739500582e-05
3,theta_plus_t_BH_s,0.0004626000009011
3,theta_plus_t_NO_s,0.0001457999969716
4,t_BH_s,9.860000136541204e-05
4,t_NO_s,0.0004218999965814
4,theta_BH_numba_s,1.4300007023848592e-05
4,theta_BH_s,7.320000440813601e-05
4,theta_NO_numba_s,1.809999957913533e-05
4,theta_NO_s,1.8999999156221747e-05
4,theta_plus_t_BH_s,0.0001609000028111
4,theta_plus_t_NO_s,0.0004408999957377
5,t_BH_s,0.0014881000024615
5,t_NO_s,0.0004852999991271
5,theta_BH_numba_s,8.600000001024455e-06
5,theta_BH_s,0.0001038000045809
5,theta_NO_numba_s,1.080000220099464e-05
5,theta_NO_s,1.85999961104244e-05
5,theta_plus_t_BH_s,0.0015819000036572
5,theta_plus_t_NO_s,0.0005015999995521
6,t_BH_s,0.0003907999998773
6,t_NO_s,0.0103627999997115
6,theta_BH_numba_s,1.2499993317760529e-05
6,theta_BH_s,0.0002110999994329
6,theta_NO_numba_s,1.1800002539530396e-05
6,theta_NO_s,2.220000169472769e-05
6,theta_plus_t_BH_s,0.0005286000014166
6,theta_plus_t_NO_s,0.0103836999987834
7,t_BH_s,0.0005563999948208
7,t_NO_s,0.001434000005247
7,theta_BH_numba_s,1.509999856352806e-05
7,theta_BH_s,0.000206500000786
7,theta_NO_numba_s,1.1199997970834374e-05
7,theta_NO_s,2.8899994504172355e-05
7,theta_plus_t_BH_s,0.0007509999923058
7,theta_plus_t_NO_s,0.0014576000030501
8,t_BH_s,0.0009255000040866
8,t_NO_s,0.0022859999953652
8,theta_BH_numba_s,1.6299993149004877e-05
8,theta_BH_s,0.0002659000019775
8,theta_NO_numba_s,1.2099997547920792e-05
8,theta_NO_s,3.5700002626981586e-05
8,theta_plus_t_BH_s,0.0011837999991257
8,theta_plus_t_NO_s,0.0023127999957068
9,t_BH_s,0.0008220999952754
9,t_NO_s,0.002685500003281
9,theta_BH_numba_s,1.9500002963468432e-05
