n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s,theta_NO_numba_s,theta_BH_numba_s
1,1,1.3800003216601908e-05,2.479999966453761e-05,4.639999679056928e-05,2.44999973801896e-05,6.0200000007171184e-05,4.9299997044727206e-05,2.479999966453761e-05,7.999995432328433e-06
1,2,7.000002369750291e-06,1.4699995517730711e-05,1.9099999917671084e-05,4.350000381236896e-05,2.6100002287421376e-05,5.819999933009967e-05,1.1999996786471456e-05,5.30000397702679e-06
1,3,6.900001608300954e-06,1.5200006600935012e-05,1.819999306462705e-05,1.3899996702093633e-05,2.5099994672928005e-05,2.9100003303028643e-05,3.5000048228539526e-06,3.4999975468963385e-06
1,4,4.2000028770416975e-06,8.799994247965515e-06,1.3500000932253895e-05,1.3699995179194955e-05,1.7700003809295595e-05,2.249998942716047e-05,3.1000017770566046e-06,3.399996785447001e-06
1,5,4.3000036384910345e-06,8.39999847812578e-06,1.3600001693703234e-05,1.1500000255182384e-05,1.790000533219427e-05,1.989999873330817e-05,2.59999796980992e-06,2.999993739649653e-06
1,6,3.399996785447001e-06,7.499998901039362e-06,1.250000059371814e-05,1.1599993740674108e-05,1.5899997379165143e-05,1.909999264171347e-05,2.5000044843181968e-06,2.6999987312592566e-06
1,7,2.90000025415793e-06,6.800000846851617e-06,1.1900003300979732e-05,1.170000177808106e-05,1.4800003555137664e-05,1.850000262493268e-05,2.3999964469112456e-06,2.7999994927085936e-06
1,8,2.90000025415793e-06,6.299997039604932e-06,1.0700001439545304e-05,1.080000220099464e-05,1.3600001693703234e-05,1.7099999240599573e-05,2.59999796980992e-06,2.7999994927085936e-06
1,9,3.400004061404616e-06,7.099995855242014e-06,1.219999830937013e-05,1.1399999493733048e-05,1.5600002370774746e-05,1.8499995348975062e-05,2.2000021999701858e-06,2.6999987312592566e-06
1,10,3.2000025385059416e-06,7.199996616691351e-06,1.3000004400964826e-05,1.1099997209385036e-05,1.6200006939470768e-05,1.829999382607639e-05,2.1000014385208488e-06,2.6999987312592566e-06
1,11,2.90000025415793e-06,6.199996278155595e-06,1.0799994925037026e-05,1.0100004146806896e-05,1.3699995179194955e-05,1.630000042496249e-05,2.199994924012572e-06,2.7999994927085936e-06
1,12,2.7999994927085936e-06,6.199996278155595e-06,1.1500000255182384e-05,1.26999948406592e-05,1.429999974789098e-05,1.88999911188148e-05,2.1000014385208488e-06,2.6000052457675338e-06
1,13,3.399996785447001e-06,6.800000846851617e-06,1.1800002539530396e-05,1.1099997209385036e-05,1.5199999324977398e-05,1.7899998056236655e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,14,3.300003299955278e-06,6.599999323952943e-06,1.1399999493733048e-05,1.3299999409355223e-05,1.4700002793688329e-05,1.989999873330817e-05,3.399996785447001e-06,2.7999994927085936e-06
1,15,3.400004061404616e-06,7.700000423938036e-06,1.1900003300979732e-05,1.1399999493733048e-05,1.530000736238435e-05,1.9099999917671084e-05,2.4999972083605826e-06,2.6999987312592566e-06
1,16,3.400004061404616e-06,6.800000846851617e-06,1.1199997970834374e-05,1.049999991664663e-05,1.460000203223899e-05,1.7300000763498247e-05,2.1000014385208488e-06,2.59999796980992e-06
1,17,3.1000017770566046e-06,6.599999323952943e-06,1.1000003723893316e-05,9.999996109399945e-06,1.410000550094992e-05,1.6599995433352888e-05,2.1000014385208488e-06,2.59999796980992e-06
1,18,3.000001015607268e-06,6.70000008540228e-06,1.1299998732283711e-05,1.0600000678095968e-05,1.429999974789098e-05,1.7300000763498247e-05,2.199994924012572e-06,2.4999972083605826e-06
1,19,3.000001015607268e-06,6.200003554113209e-06,1.0600000678095968e-05,9.900002623908222e-06,1.3600001693703234e-05,1.610000617802143e-05,2.000000677071512e-06,2.4999972083605826e-06
1,20,2.800006768666208e-06,6.299997039604932e-06,1.3800003216601908e-05,9.900002623908222e-06,1.6600009985268116e-05,1.6199999663513154e-05,2.2000021999701858e-06,2.59999796980992e-06
1,21,3.1999952625483274e-06,6.900001608300954e-06,1.1199997970834374e-05,1.0700001439545304e-05,1.4399993233382702e-05,1.7600003047846258e-05,2.7000060072168708e-06,2.59999796980992e-06
1,22,2.90000025415793e-06,6.399997801054269e-06,1.1299998732283711e-05,1.049999991664663e-05,1.4199998986441642e-05,1.68999977177009e-05,2.40000372286886e-06,2.4999972083605826e-06
1,23,2.7999994927085936e-06,6.200003554113209e-06,1.049999991664663e-05,9.999996109399945e-06,1.3299999409355223e-05,1.6199999663513154e-05,2.1000014385208488e-06,2.4999972083605826e-06
1,24,2.59999796980992e-06,6.499998562503606e-06,1.09999964479357e-05,1.019999763229862e-05,1.359999441774562e-05,1.6699996194802225e-05,2.000000677071512e-06,2.4999972083605826e-06
1,25,2.7999994927085936e-06,6.399997801054269e-06,1.0399999155197293e-05,9.699993825051934e-06,1.3199998647905886e-05,1.6099991626106203e-05,2.000000677071512e-06,2.3999964469112456e-06
1,26,3.000001015607268e-06,6.400005077011883e-06,1.0299998393747956e-05,1.019999763229862e-05,1.3299999409355223e-05,1.6600002709310502e-05,2.3000029614195228e-06,2.6999987312592566e-06
1,27,3.000001015607268e-06,6.299997039604932e-06,1.1299998732283711e-05,1.1099997209385036e-05,1.429999974789098e-05,1.739999424898997e-05,2.1000014385208488e-06,2.6999987312592566e-06
1,28,3.000001015607268e-06,6.299997039604932e-06,1.080000220099464e-05,1.049999991664663e-05,1.3800003216601908e-05,1.679999695625156e-05,2.2000021999701858e-06,2.4999972083605826e-06
1,29,2.90000025415793e-06,6.100002792663872e-06,1.0900002962443978e-05,1.080000220099464e-05,1.3800003216601908e-05,1.6900004993658513e-05,2.1000014385208488e-06,2.40000372286886e-06
1,30,2.6999987312592566e-06,6.100002792663872e-06,1.049999991664663e-05,9.700001101009548e-06,1.3199998647905886e-05,1.580000389367342e-05,2.0999941625632346e-06,2.59999796980992e-06
1,31,2.6999987312592566e-06,6.099995516706258e-06,1.0299998393747956e-05,9.999996109399945e-06,1.2999997125007212e-05,1.6099991626106203e-05,2.000000677071512e-06,2.59999796980992e-06
1,32,2.6999987312592566e-06,5.899993993807584e-06,1.019999763229862e-05,1.0600000678095968e-05,1.2899996363557875e-05,1.649999467190355e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,33,3.000001015607268e-06,6.599999323952943e-06,2.970000059576705e-05,1.3999997463542968e-05,3.270000161137432e-05,2.059999678749591e-05,4.900000931229442e-06,3.000001015607268e-06
1,34,3.700006345752626e-06,7.399998139590025e-06,1.1800002539530396e-05,1.0900002962443978e-05,1.5500008885283023e-05,1.8300001102034003e-05,2.3000029614195228e-06,2.7999994927085936e-06
1,35,3.400004061404616e-06,6.900001608300954e-06,1.219999830937013e-05,1.0900002962443978e-05,1.5600002370774746e-05,1.7800004570744932e-05,2.0999941625632346e-06,2.59999796980992e-06
1,36,3.1000017770566046e-06,6.50000583846122e-06,1.1000003723893316e-05,1.049999991664663e-05,1.410000550094992e-05,1.700000575510785e-05,1.8999999156221747e-06,2.59999796980992e-06
1,37,2.999993739649653e-06,6.299997039604932e-06,1.0599993402138352e-05,9.800001862458885e-06,1.3599987141788006e-05,1.6099998902063817e-05,2.1000014385208488e-06,2.6000052457675338e-06
1,38,2.7999994927085936e-06,6.100002792663872e-06,1.049999991664663e-05,1.000000338535756e-05,1.3299999409355223e-05,1.610000617802143e-05,2.1000014385208488e-06,2.4999972083605826e-06
1,39,2.6999987312592566e-06,6.000002031214535e-06,9.79999458650127e-06,9.599993063602597e-06,1.2499993317760529e-05,1.5599995094817132e-05,2.1000014385208488e-06,2.6000052457675338e-06
1,40,2.6999987312592566e-06,6.099995516706258e-06,1.2299999070819467e-05,9.79999458650127e-06,1.4999997802078724e-05,1.589999010320753e-05,2.1000014385208488e-06,2.59999796980992e-06
1,41,3.000001015607268e-06,6.300004315562546e-06,1.049999991664663e-05,9.60000033956021e-06,1.3500000932253895e-05,1.5900004655122757e-05,2.3000029614195228e-06,2.7999994927085936e-06
1,42,2.7000060072168708e-06,6.099995516706258e-06,1.0099996870849282e-05,1.0200004908256233e-05,1.2800002878066152e-05,1.630000042496249e-05,2.1000014385208488e-06,2.5000044843181968e-06
1,43,3.1000017770566046e-06,6.499998562503606e-06,1.080000220099464e-05,1.030000566970557e-05,1.3900003978051244e-05,1.6800004232209176e-05,1.9999934011138976e-06,2.59999796980992e-06
1,44,2.7999994927085936e-06,6.299997039604932e-06,1.049999991664663e-05,9.999996109399945e-06,1.3299999409355223e-05,1.6299993149004877e-05,2.000000677071512e-06,2.5000044843181968e-06
1,45,2.7000060072168708e-06,6.099995516706258e-06,1.0299998393747956e-05,9.900002623908222e-06,1.3000004400964826e-05,1.599999814061448e-05,2.000000677071512e-06,2.40000372286886e-06
1,46,2.59999796980992e-06,5.999994755256921e-06,9.999996109399945e-06,1.019999763229862e-05,1.2599994079209864e-05,1.619999238755554e-05,2.000000677071512e-06,2.4999972083605826e-06
1,47,2.6999987312592566e-06,5.899993993807584e-06,1.0399999155197293e-05,1.000000338535756e-05,1.309999788645655e-05,1.5899997379165143e-05,2.000000677071512e-06,2.5000044843181968e-06
