,,,temps_ms,temps_ms,temps_ms,temps_ms,temps_ms,cout_total,cout_total,cout_total,cout_total,validations_ok
,,,mean,std,min,max,count,mean,std,min,max,mean
n,m,algorithme,,,,,,,,,,
5,5,balas_hammer,0.1126,0.0106,0.1056,0.1248,3,39379.6667,27991.3328,13610.0,69160.0,1.0
5,5,marche_pied,0.2836,0.0445,0.2257,0.3417,6,43775.5,15498.6855,27686.0,58681.0,1.0
5,5,nord_ouest,0.0274,0.0054,0.0226,0.0332,3,58646.0,29658.6745,40890.0,92885.0,1.0
5,10,balas_hammer,0.1861,0.003,0.1826,0.1882,3,29215.0,8672.8269,20088.0,37348.0,1.0
5,10,marche_pied,0.6144,0.2062,0.3339,0.9549,6,27626.6667,11754.2477,9669.0,46197.0,1.0
5,10,nord_ouest,0.034,0.0001,0.0339,0.0341,3,48809.6667,18750.3186,35739.0,70293.0,1.0
10,5,balas_hammer,0.2105,0.0298,0.1931,0.2449,3,58073.3333,11046.5196,49005.0,70376.0,1.0
10,5,marche_pied,0.6069,0.1186,0.4581,0.7802,6,72478.0,29933.4848,51828.0,131019.0,1.0
10,5,nord_ouest,0.0365,0.0004,0.036,0.0368,3,119854.3333,50796.4925,86455.0,178311.0,1.0
10,10,balas_hammer,0.3187,0.0102,0.3085,0.3289,3,56664.3333,27719.3039,26845.0,81647.0,1.0
10,10,marche_pied,1.2513,0.267,0.9317,1.6335,6,59399.0,21213.6766,24261.0,86902.0,1.0
10,10,nord_ouest,0.0441,0.0011,0.0428,0.0447,3,119714.0,21516.1882,106664.0,144548.0,1.0
15,15,balas_hammer,0.7781,0.0193,0.7608,0.7989,3,76991.3333,31082.7682,45447.0,107591.0,1.0
15,15,marche_pied,5.5371,2.5492,2.8256,8.4809,6,48797.3333,15243.2282,25567.0,73559.0,1.0
15,15,nord_ouest,0.0616,0.0009,0.0606,0.0623,3,170083.3333,57926.2804,123697.0,235010.0,1.0
20,20,balas_hammer,1.7087,0.1318,1.5582,1.8034,3,89817.3333,4145.3615,85897.0,94156.0,1.0
20,20,marche_pied,11.5198,4.4404,6.6369,16.5606,6,68825.0,15755.9963,51304.0,97829.0,1.0
20,20,nord_ouest,0.0758,0.0011,0.0746,0.0767,3,269000.3333,27928.3161,252784.0,301249.0,1.0
