n,mesure,temps_max_s
10,theta_NO_s,0.00000000
30,theta_NO_s,0.00000000
60,theta_NO_s,0.00000000
100,theta_NO_s,0.00000000
10,theta_BH_s,0.00000000
30,theta_BH_s,0.00100000
60,theta_BH_s,0.00100000
100,theta_BH_s,0.00100000
10,t_NO_s,0.00100000
30,t_NO_s,0.00200000
60,t_NO_s,0.01500000
100,t_NO_s,0.08800000
10,t_BH_s,0.00100000
30,t_BH_s,0.00100000
60,t_BH_s,0.00400000
100,t_BH_s,0.01500000
10,theta_plus_t_NO_s,0.00100000
30,theta_plus_t_NO_s,0.00200000
60,theta_plus_t_NO_s,0.01500000
100,theta_plus_t_NO_s,0.08800000
10,theta_plus_t_BH_s,0.00100000
30,theta_plus_t_BH_s,0.00100000
60,theta_plus_t_BH_s,0.00500000
100,theta_plus_t_BH_s,0.01600000
