n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s
10,1,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,2,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,3,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,4,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,5,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,6,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,7,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,8,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,9,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,10,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,11,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,12,0.00000000,0.00000000,0.00200000,0.00100000,0.00200000,0.00100000
10,13,0.00000000,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000
10,14,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,15,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,16,0.00000000,0.00000000,0.00200000,0.00100000,0.00200000,0.00100000
10,17,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,18,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,19,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,20,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,21,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,22,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,23,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,24,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,25,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,26,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,27,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,28,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,29,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,30,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,31,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,32,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,33,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,34,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,35,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,36,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,37,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,38,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,39,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,40,0.00000000,0.00100000,0.00100000,0.00000000,0.00100000,0.00100000
10,41,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,42,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,43,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,44,0.00000000,0.00100000,0.00100000,0.00000000,0.00100000,0.00100000
10,45,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,46,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,47,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,48,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,49,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,50,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,51,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,52,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,53,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,54,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,55,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,56,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,57,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,58,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,59,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,60,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,61,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,62,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,63,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,64,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,65,0.00000000,0.00000000,0.28200000,0.00000000,0.28200000,0.00000000
10,66,0.00000000,0.00000000,0.29000000,0.00000000,0.29000000,0.00000000
10,67,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,68,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,69,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,70,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,71,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,72,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,73,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,74,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,75,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,76,0.00000000,0.00000000,0.00200000,0.00000000,0.00200000,0.00000000
10,77,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,78,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
10,79,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,80,0.00000000,0.00000000,0.00100000,0.00100000,0.00100000,0.00100000
10,81,0.00000000,0.00000000,0.00100000,0.00000000,0.00100000,0.00000000
